Image_1,Image_2,Human Preference,LLM Preference
frame_00056.jpg,frame_00222.jpg,1.0,1.0
frame_00159.jpg,frame_00268.jpg,0.0,1.0
frame_00211.jpg,frame_00280.jpg,1.0,1.0
frame_00186.jpg,frame_00269.jpg,1.0,1.0
frame_00153.jpg,frame_00256.jpg,0.0,1.0
frame_00140.jpg,frame_00191.jpg,0.0,1.0
frame_00164.jpg,frame_00276.jpg,0.0,1.0
frame_00099.jpg,frame_00205.jpg,1.0,1.0
frame_00149.jpg,frame_00184.jpg,0.0,1.0
frame_00076.jpg,frame_00092.jpg,0.0,1.0
frame_00042.jpg,frame_00095.jpg,0.0,1.0
frame_00223.jpg,frame_00259.jpg,0.0,1.0
frame_00059.jpg,frame_00108.jpg,1.0,1.0
frame_00060.jpg,frame_00197.jpg,0.0,1.0
frame_00106.jpg,frame_00222.jpg,1.0,1.0
frame_00005.jpg,frame_00080.jpg,0.0,1.0
frame_00117.jpg,frame_00262.jpg,0.0,1.0
frame_00038.jpg,frame_00119.jpg,1.0,1.0
frame_00010.jpg,frame_00245.jpg,0.0,1.0
frame_00017.jpg,frame_00222.jpg,1.0,1.0
frame_00079.jpg,frame_00102.jpg,0.0,0.0
frame_00026.jpg,frame_00212.jpg,1.0,1.0
frame_00049.jpg,frame_00077.jpg,1.0,0.0
frame_00129.jpg,frame_00266.jpg,1.0,0.0
frame_00156.jpg,frame_00223.jpg,1.0,1.0
frame_00105.jpg,frame_00240.jpg,1.0,1.0
frame_00026.jpg,frame_00133.jpg,1.0,0.0
frame_00059.jpg,frame_00215.jpg,1.0,1.0
frame_00090.jpg,frame_00094.jpg,0.0,0.0
frame_00111.jpg,frame_00275.jpg,1.0,1.0
frame_00040.jpg,frame_00051.jpg,0.0,0.0
frame_00099.jpg,frame_00275.jpg,1.0,1.0
frame_00099.jpg,frame_00263.jpg,1.0,1.0
frame_00065.jpg,frame_00091.jpg,0.0,1.0
frame_00053.jpg,frame_00220.jpg,1.0,1.0
frame_00212.jpg,frame_00231.jpg,1.0,1.0
frame_00173.jpg,frame_00246.jpg,0.0,0.0
frame_00080.jpg,frame_00207.jpg,1.0,1.0
frame_00101.jpg,frame_00129.jpg,0.0,1.0
frame_00190.jpg,frame_00273.jpg,0.0,1.0
frame_00224.jpg,frame_00252.jpg,0.0,0.0
frame_00072.jpg,frame_00171.jpg,1.0,1.0
frame_00007.jpg,frame_00280.jpg,1.0,1.0
frame_00021.jpg,frame_00130.jpg,1.0,0.0
