Image_1,Image_2,Human Preference,LLM Preference
frame_00028.jpg,frame_00031.jpg,0.0,0
frame_00014.jpg,frame_00045.jpg,1.0,1
frame_00003.jpg,frame_00052.jpg,0.0,1
frame_00004.jpg,frame_00011.jpg,0.0,1
frame_00020.jpg,frame_00047.jpg,0.0,1
frame_00016.jpg,frame_00040.jpg,0.0,1
frame_00016.jpg,frame_00023.jpg,1.0,1
frame_00017.jpg,frame_00055.jpg,0.0,1
frame_00008.jpg,frame_00051.jpg,0.0,1
frame_00011.jpg,frame_00058.jpg,0.0,1
frame_00003.jpg,frame_00058.jpg,0.0,1
frame_00034.jpg,frame_00063.jpg,0.0,1
frame_00011.jpg,frame_00054.jpg,0.0,1
frame_00010.jpg,frame_00015.jpg,0.0,1
frame_00032.jpg,frame_00034.jpg,1.0,1
frame_00016.jpg,frame_00031.jpg,0.0,1
frame_00004.jpg,frame_00030.jpg,0.0,0
frame_00039.jpg,frame_00063.jpg,0.0,1
frame_00037.jpg,frame_00051.jpg,0.0,1
frame_00039.jpg,frame_00060.jpg,0.0,1
frame_00024.jpg,frame_00063.jpg,0.0,0
frame_00045.jpg,frame_00053.jpg,0.0,0
frame_00003.jpg,frame_00022.jpg,0.0,1
frame_00006.jpg,frame_00065.jpg,0.0,1
frame_00025.jpg,frame_00033.jpg,1.0,0
frame_00015.jpg,frame_00038.jpg,0.0,1
frame_00024.jpg,frame_00052.jpg,0.0,1
frame_00007.jpg,frame_00027.jpg,0.0,1
frame_00036.jpg,frame_00041.jpg,0.0,0
frame_00028.jpg,frame_00032.jpg,0.0,0
frame_00019.jpg,frame_00042.jpg,0.0,1
frame_00009.jpg,frame_00046.jpg,0.0,1
frame_00041.jpg,frame_00068.jpg,1.0,1
frame_00032.jpg,frame_00050.jpg,0.0,1
frame_00050.jpg,frame_00068.jpg,1.0,0
frame_00002.jpg,frame_00020.jpg,0.0,0
frame_00020.jpg,frame_00046.jpg,0.0,1
frame_00059.jpg,frame_00068.jpg,1.0,1
frame_00029.jpg,frame_00053.jpg,0.0,1
frame_00019.jpg,frame_00053.jpg,0.0,1
frame_00014.jpg,frame_00019.jpg,0.0,0
frame_00005.jpg,frame_00027.jpg,0.0,1
frame_00015.jpg,frame_00063.jpg,0.0,1
frame_00002.jpg,frame_00061.jpg,0.0,1
frame_00041.jpg,frame_00064.jpg,0.0,1
frame_00052.jpg,frame_00059.jpg,0.0,0
frame_00046.jpg,frame_00053.jpg,0.0,1
frame_00054.jpg,frame_00062.jpg,0.0,0
frame_00007.jpg,frame_00035.jpg,0.0,1
frame_00039.jpg,frame_00052.jpg,0.0,1
frame_00002.jpg,frame_00051.jpg,0.0,1
frame_00033.jpg,frame_00044.jpg,0.0,1
frame_00005.jpg,frame_00029.jpg,0.0,1
frame_00003.jpg,frame_00062.jpg,0.0,1
frame_00004.jpg,frame_00038.jpg,0.0,1
frame_00004.jpg,frame_00046.jpg,0.0,1
frame_00028.jpg,frame_00060.jpg,0.0,1
frame_00016.jpg,frame_00035.jpg,0.0,1
frame_00017.jpg,frame_00068.jpg,1.0,0
frame_00014.jpg,frame_00053.jpg,0.0,1
frame_00062.jpg,frame_00067.jpg,1.0,1
frame_00004.jpg,frame_00056.jpg,1.0,1
frame_00010.jpg,frame_00031.jpg,0.0,0
frame_00046.jpg,frame_00052.jpg,0.0,1
frame_00019.jpg,frame_00055.jpg,0.0,1
frame_00018.jpg,frame_00026.jpg,0.0,0
frame_00007.jpg,frame_00057.jpg,0.0,1
frame_00055.jpg,frame_00059.jpg,0.0,1
frame_00024.jpg,frame_00049.jpg,0.0,1
frame_00002.jpg,frame_00045.jpg,1.0,0
frame_00037.jpg,frame_00065.jpg,0.0,1
frame_00049.jpg,frame_00064.jpg,0.0,1
frame_00038.jpg,frame_00062.jpg,0.0,1
frame_00036.jpg,frame_00046.jpg,0.0,0
frame_00033.jpg,frame_00056.jpg,1.0,0
frame_00032.jpg,frame_00066.jpg,0.0,1
frame_00045.jpg,frame_00052.jpg,0.0,0
frame_00051.jpg,frame_00066.jpg,0.0,1
frame_00003.jpg,frame_00008.jpg,0.0,0
frame_00033.jpg,frame_00060.jpg,0.0,1
frame_00003.jpg,frame_00029.jpg,0.0,0
frame_00015.jpg,frame_00025.jpg,0.0,1
frame_00012.jpg,frame_00032.jpg,0.0,0
frame_00024.jpg,frame_00026.jpg,0.0,0
frame_00015.jpg,frame_00044.jpg,0.0,1
frame_00011.jpg,frame_00065.jpg,0.0,1
frame_00014.jpg,frame_00051.jpg,0.0,1
frame_00037.jpg,frame_00041.jpg,0.0,0
frame_00013.jpg,frame_00023.jpg,1.0,1
frame_00015.jpg,frame_00032.jpg,0.0,1
frame_00039.jpg,frame_00046.jpg,0.0,1
frame_00005.jpg,frame_00036.jpg,0.0,1
frame_00043.jpg,frame_00066.jpg,0.0,1
frame_00008.jpg,frame_00058.jpg,0.0,1
frame_00019.jpg,frame_00032.jpg,0.0,1
frame_00033.jpg,frame_00043.jpg,0.0,0
frame_00033.jpg,frame_00065.jpg,0.0,1
frame_00003.jpg,frame_00006.jpg,0.0,1
frame_00020.jpg,frame_00055.jpg,0.0,1
frame_00044.jpg,frame_00057.jpg,0.0,1
frame_00020.jpg,frame_00039.jpg,1.0,1
frame_00053.jpg,frame_00056.jpg,1.0,1
frame_00006.jpg,frame_00056.jpg,1.0,1
frame_00007.jpg,frame_00020.jpg,0.0,1
frame_00010.jpg,frame_00018.jpg,0.0,0
frame_00027.jpg,frame_00068.jpg,1.0,0
frame_00018.jpg,frame_00024.jpg,0.0,0
frame_00010.jpg,frame_00049.jpg,0.0,1
frame_00042.jpg,frame_00055.jpg,0.0,1
frame_00051.jpg,frame_00064.jpg,0.0,1
frame_00017.jpg,frame_00018.jpg,0.0,0
frame_00007.jpg,frame_00066.jpg,0.0,1
frame_00021.jpg,frame_00030.jpg,0.0,0
frame_00040.jpg,frame_00048.jpg,0.0,1
frame_00043.jpg,frame_00044.jpg,0.0,0
frame_00005.jpg,frame_00040.jpg,0.0,1
frame_00015.jpg,frame_00033.jpg,0.0,0
frame_00029.jpg,frame_00044.jpg,0.0,1
frame_00004.jpg,frame_00059.jpg,0.0,1
frame_00007.jpg,frame_00059.jpg,0.0,1
frame_00015.jpg,frame_00022.jpg,0.0,0
frame_00035.jpg,frame_00057.jpg,0.0,1
frame_00040.jpg,frame_00051.jpg,0.0,1
frame_00031.jpg,frame_00035.jpg,0.0,0
frame_00021.jpg,frame_00040.jpg,1.0,1
frame_00003.jpg,frame_00013.jpg,0.0,1
frame_00058.jpg,frame_00061.jpg,1.0,0
frame_00010.jpg,frame_00030.jpg,0.0,0
frame_00046.jpg,frame_00057.jpg,0.0,1
frame_00038.jpg,frame_00047.jpg,0.0,1
frame_00021.jpg,frame_00048.jpg,0.0,1
frame_00057.jpg,frame_00059.jpg,0.0,1
frame_00025.jpg,frame_00044.jpg,0.0,1
frame_00053.jpg,frame_00063.jpg,0.0,1
frame_00005.jpg,frame_00043.jpg,0.0,1
