Image_1,Image_2,Human Preference
img1009.png,img103.png,0
img1009.png,img1064.png,0
img1009.png,img110.png,0
img1009.png,img1119.png,0
img1009.png,img1189.png,1
img1009.png,img1208.png,1
img1009.png,img14.png,0
img1009.png,img1401.png,1
img1009.png,img1423.png,0
img1009.png,img1429.png,0
img1009.png,img1451.png,1
img1009.png,img1498.png,1
img1009.png,img1506.png,1
img1009.png,img1511.png,0
img1009.png,img1572.png,1
img1009.png,img1686.png,0
img1009.png,img1766.png,0
img1009.png,img1812.png,0
img1009.png,img1916.png,1
img1009.png,img2082.png,1
img1009.png,img2236.png,1
img1009.png,img2291.png,1
img1009.png,img2320.png,0
img1009.png,img2389.png,1
img1009.png,img2496.png,0
img1009.png,img2613.png,1
img1009.png,img2869.png,1
img1009.png,img2969.png,0
img1009.png,img3090.png,1
img1009.png,img3135.png,1
img1009.png,img3232.png,1
img1009.png,img3488.png,1
img1009.png,img3506.png,1
img1009.png,img375.png,0
img1009.png,img3843.png,1
img1009.png,img3907.png,1
img1009.png,img3979.png,1
img1009.png,img4048.png,1
img1009.png,img4147.png,1
img1009.png,img4433.png,1
img1009.png,img4590.png,1
img1009.png,img5057.png,1
img1009.png,img5173.png,1
img1009.png,img5180.png,1
img1009.png,img5249.png,1
img1009.png,img5279.png,1
img1009.png,img5366.png,1
img1009.png,img5367.png,1
img1009.png,img5527.png,1
img1009.png,img574.png,0
img1009.png,img597.png,0
img1009.png,img723.png,0
img1009.png,img759.png,0
img1009.png,img977.png,0
img103.png,img1064.png,1
img103.png,img110.png,1
img103.png,img1119.png,1
img103.png,img1189.png,1
img103.png,img1208.png,1
img103.png,img14.png,1
img103.png,img1401.png,1
img103.png,img1423.png,1
img103.png,img1429.png,1
img103.png,img1451.png,1
img103.png,img1498.png,1
img103.png,img1506.png,1
img103.png,img1511.png,1
img103.png,img1572.png,1
img103.png,img1686.png,1
img103.png,img1766.png,1
img103.png,img1812.png,1
img103.png,img1916.png,1
img103.png,img2082.png,1
img103.png,img2236.png,1
img103.png,img2291.png,1
img103.png,img2320.png,1
img103.png,img2389.png,1
